pi001,1.0,2020-11-03

20200101100000,12345678,2020-01-01 10:00:00,2020-01-01 10:50:00
20210104170025,12345678,2021-01-04 17:00:25,2021-01-04 17:00:33
20210106131854,12345678,2021-01-06 13:18:54,2021-01-06 13:19:11
20210106133128,12345678,2021-01-06 13:31:28,2021-01-06 13:31:41
20210106133503,12345678,2021-01-06 13:35:03,2021-01-06 13:35:37
20210106133600,12345678,2021-01-06 13:36:00,2021-01-06 13:36:11
20210106133624,12345678,2021-01-06 13:36:24,2021-01-06 13:38:18
20210106134609,12345678,2021-01-06 13:46:09,2021-01-06 13:59:24
20210106160209,12345678,2021-01-06 16:02:09,2021-01-06 16:02:12
20210106160402,12345678,2021-01-06 16:04:02,2021-01-06 16:04:18
20210106163223,12345678,2021-01-06 16:32:23,2021-01-06 16:32:34
20210109121630,12345678,2021-01-09 12:16:30,2021-01-09 12:16:46
20210114094917,12345678,2021-01-14 09:49:17,2021-01-14 09:50:27
20210114131457,12345678,2021-01-14 13:14:57,2021-01-14 13:15:05
20210119160144,12345678,2021-01-19 16:01:44,2021-01-19 16:01:53
20210119161538,12345678,2021-01-19 16:15:38,2021-01-19 16:15:47
20210119161552,12345678,2021-01-19 16:15:52,2021-01-19 16:15:53
20210119162544,12345678,2021-01-19 16:25:44,2021-01-19 16:25:50
20210130180057,12345678,2021-01-30 18:00:57,2021-01-30 18:01:37

20200101100000,20289654,2020-01-01 10:02:00
20200101100000,20389654,2020-01-01 10:03:00
20200101100000,20789654,2020-01-01 10:01:00
20210104170025,20770316,2021-01-04 17:00:28
20210106131854,20770316,2021-01-06 13:18:58
20210106131854,20886322,2021-01-06 13:19:04
20210106133128,20770316,2021-01-06 13:31:32
20210106133128,20886322,2021-01-06 13:31:36
20210106133503,20770316,2021-01-06 13:35:06
20210106133624,20770316,2021-01-06 13:36:33
20210106133624,20770316,2021-01-06 13:36:37
20210106133624,20886322,2021-01-06 13:36:28
20210106133624,20886322,2021-01-06 13:36:35
20210106160402,20770316,2021-01-06 16:04:06
20210106160402,20770316,2021-01-06 16:04:13
20210106160402,20886322,2021-01-06 16:04:10
20210106163223,20770316,2021-01-06 16:32:26
20210106163223,20886322,2021-01-06 16:32:31
20210109121630,20770316,2021-01-09 12:16:36
20210109121630,20886322,2021-01-09 12:16:32
20210114094917,20770316,2021-01-14 09:50:02
20210114094917,20886322,2021-01-14 09:50:12
20210114131457,20770316,2021-01-14 13:15:00
20210114131457,20886322,2021-01-14 13:15:03
20210119160144,20770316,2021-01-19 16:01:48
20210119160144,20886322,2021-01-19 16:01:50
20210119161538,20770316,2021-01-19 16:15:44
20210119161538,20886322,2021-01-19 16:15:42
20210119162544,20770316,2021-01-19 16:25:46
20210119162544,20886322,2021-01-19 16:25:48
20210130180057,20770316,2021-01-30 18:01:14
20210130180057,20886322,2021-01-30 18:01:05
